Taxa,morphospecies
Bezzia.sp1,Bezzia sp. 1
Bezzia.sp2,Bezzia sp. 2
Corethrella,"Corethrellidae sp A (needs taxonomist, may be same as B/C/D)"
Corethrella,Corethrellidae sp B
Corethrella,Corethrellidae sp C
Corethrella,Corethrellidae sp D
Dolichopodidae,Dolichopodidae spA
Dolichopodidae,Dolichopodidae sp.
Empididae.sp1,Empididae sp. 1
Empididae.sp2,Empididae sp 2 (a few Muscidae sp mixed in)
Hirudinidae,Leech sp A (green dots)
Hirudinidae,Leech sp B (black)
Leptagrion.andromache,Leptagrion andromache
Leptagrion.elongatum,Leptagrion elongatum (C and D - the same species)
Leptagrion.tan,"Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)"
Monopelopia,Monopelopia aff caraguata
Tabanidae.spC,Tabanidae sp. (=Diptera sp J)
Tabanidae.spA,Tabanid sp A
Tabanidae.spB,"Tabanid spB (green, small-med)"